customer_id,first_name,last_name,phone,email,street,city,state,zip_code
,Nichelle,Howell,,nichelle.howell@aol.com,7670 Forest St. ,Scarsdale,NY,10583
,Marisol,Goodman,,marisol.goodman@gmail.com,864 East Cherry St. ,Canandaigua,NY,14424
,Sylvie,Wilkerson,,sylvie.wilkerson@yahoo.com,750 Central Ave. ,Syosset,NY,11791
,Katharina,Bates,,katharina.bates@gmail.com,54 South Greenview Drive ,Campbell,CA,95008
,Marget,Hodge,,marget.hodge@msn.com,7199 Selby Lane ,Woodhaven,NY,11421
,Raul,Melendez,,raul.melendez@hotmail.com,9772 Manhattan St. ,Elmhurst,NY,11373
,Cecil,Hopper,,cecil.hopper@yahoo.com,471 Glenlake Ave. ,Central Islip,NY,11722
,Shae,Hickman,,shae.hickman@hotmail.com,740 Pin Oak Street ,Floral Park,NY,11001
,Monica,Sears,(408) 704-8863,monica.sears@aol.com,57 Glenholme St. ,San Jose,CA,95127
,Ollie,Zimmerman,(657) 648-2863,ollie.zimmerman@yahoo.com,69 Wood Rd. ,Anaheim,CA,92806
,Shila,White,,shila.white@msn.com,94 Lakeshore Street ,Orchard Park,NY,14127
,Yuk,Vega,,yuk.vega@yahoo.com,413 Wood St. ,West Hempstead,NY,11552
,Eliana,Silva,,eliana.silva@gmail.com,7119 Summer Rd. ,Farmingdale,NY,11735
,Thalia,Horne,,thalia.horne@yahoo.com,9312 Harvard Street ,Amityville,NY,11701
,Rey,Lindsay,,rey.lindsay@gmail.com,16 Philmont St. ,Monroe,NY,10950
,Merlene,Vinson,,merlene.vinson@gmail.com,431 Vine Dr. ,Euless,TX,76039
,Dacia,William,,dacia.william@msn.com,62 Cypress Drive ,Sugar Land,TX,77478
,Le,Wood,,le.wood@yahoo.com,90 Primrose Dr. ,Pittsford,NY,14534
,Thalia,Dillard,,thalia.dillard@yahoo.com,987 NE. Gates Street ,San Angelo,TX,76901
,Luz,House,(559) 114-2580,luz.house@gmail.com,491 Railroad Street ,Fresno,CA,93706
,Lucy,Woods,,lucy.woods@gmail.com,8437 West Rockaway St. ,Palos Verdes Peninsula,CA,90274
,Shena,Carter,,shena.carter@yahoo.com,72 University Road ,Howard Beach,NY,11414
,Robena,Hill,(361) 598-4414,robena.hill@hotmail.com,263 Cross St. ,Corpus Christi,TX,78418
,Jeni,Booker,,jeni.booker@gmail.com,546 Railroad Dr. ,South El Monte,CA,91733
,Herlinda,Stone,,herlinda.stone@msn.com,725 Gulf St. ,Canandaigua,NY,14424
,Lavina,Dejesus,,lavina.dejesus@msn.com,59 E. Valley Avenue ,Newburgh,NY,12550
,Erlinda,Nielsen,,erlinda.nielsen@aol.com,728 Oxford Lane ,Maspeth,NY,11378
,Terrance,Lynn,,terrance.lynn@yahoo.com,91 East Buckingham Drive ,Plattsburgh,NY,12901
,Walton,Dejesus,,walton.dejesus@yahoo.com,15 Washington Rd. ,Lockport,NY,14094
,Wes,Stanton,(248) 247-5074,wes.stanton@msn.com,8662 Tunnel Street ,Troy,NY,12180
,Tanesha,Hampton,,tanesha.hampton@hotmail.com,19 Belmont Ave. ,Syosset,NY,11791
,Boyd,Irwin,,boyd.irwin@hotmail.com,221 Whitemarsh St. ,Hamburg,NY,14075
,Delbert,Wilkins,,delbert.wilkins@aol.com,420 Greenview St. ,Coram,NY,11727
,Brianna,Moss,(516) 156-8031,brianna.moss@msn.com,4 Longfellow St. ,Hempstead,NY,11550
,Dorthey,Jackson,(281) 926-8010,dorthey.jackson@msn.com,9768 Brookside St. ,Houston,TX,77016
,Sarita,Parks,,sarita.parks@msn.com,7809 Second Lane ,Forney,TX,75126
,Shonta,Mercer,,shonta.mercer@aol.com,319 NE. La Sierra Avenue ,Massapequa,NY,11758
,Jone,Bernard,(657) 536-5165,jone.bernard@hotmail.com,99 Longbranch Court ,Anaheim,CA,92806
,Wanita,Davenport,,wanita.davenport@aol.com,525 Dogwood Ave. ,Spring Valley,NY,10977
,Cleopatra,Tate,,cleopatra.tate@aol.com,97 N. Glenwood St. ,East Elmhurst,NY,11369
,Ramiro,Byers,,ramiro.byers@gmail.com,16 Pleasant St. ,Saint Albans,NY,11412
,Nicholas,Vazquez,,nicholas.vazquez@hotmail.com,9 Roosevelt Street ,West Hempstead,NY,11552
,Janae,Doyle,,janae.doyle@gmail.com,760 Rose Ave. ,Jackson Heights,NY,11372
,Hans,Price,,hans.price@hotmail.com,51 Glendale Road ,Port Chester,NY,10573
,Miquel,Neal,,miquel.neal@hotmail.com,9564 Deerfield Lane ,Staten Island,NY,10301
,Stefany,Potter,,stefany.potter@gmail.com,256 South Academy St. ,Saratoga Springs,NY,12866
,Bernetta,Marquez,,bernetta.marquez@hotmail.com,626 E. Dunbar Street ,Smithtown,NY,11787
,Julee,Woodard,,julee.woodard@yahoo.com,869 Summerhouse Dr. ,Richmond Hill,NY,11418
,Meredith,Bryan,,meredith.bryan@hotmail.com,8935 E. Oxford St. ,Spring Valley,NY,10977
,Weldon,Michael,,weldon.michael@hotmail.com,9952 Nut Swamp St. ,Huntington,NY,11743
,Joesph,Delacruz,,joesph.delacruz@aol.com,184 Cypress Street ,Atwater,CA,95301
,Katherina,Odom,,katherina.odom@yahoo.com,897 N. Oak Drive ,Plainview,NY,11803
,Laraine,Robbins,,laraine.robbins@yahoo.com,8214 E. Pin Oak Lane ,San Angelo,TX,76901
,Jenise,Preston,,jenise.preston@yahoo.com,9 Littleton Drive ,Helotes,TX,78023
,Lory,Page,,lory.page@hotmail.com,58 Summerhouse Street ,Bay Shore,NY,11706
,Charlyn,Cantrell,,charlyn.cantrell@yahoo.com,8756 Euclid St. ,West Islip,NY,11795
,Carola,Rodriquez,,carola.rodriquez@hotmail.com,9433 Heritage Lane ,Banning,CA,92220
,Alane,Kennedy,,alane.kennedy@yahoo.com,34 Green Lake Street ,Spring Valley,NY,10977
,Regina,Burns,,regina.burns@aol.com,713 Buckingham St. ,Garland,TX,75043
,Omer,Estrada,,omer.estrada@gmail.com,9 Honey Creek Street ,Rowlett,TX,75088
,Crystle,Gilliam,,crystle.gilliam@yahoo.com,86 Edgewater Road ,Smithtown,NY,11787
,Kam,Wilder,,kam.wilder@hotmail.com,500 West Clay Ave. ,Newburgh,NY,12550
,Margert,Stevens,,margert.stevens@aol.com,502 North Poplar St. ,Rome,NY,13440
,Tomika,Larson,,tomika.larson@yahoo.com,254 Canal St. ,Woodside,NY,11377
,Jeromy,Burch,(408) 955-8238,jeromy.burch@msn.com,889 Mulberry Street ,San Jose,CA,95127
,Lena,Mills,,lena.mills@yahoo.com,42 Homestead St. ,Woodhaven,NY,11421
,Loreta,Johnston,,loreta.johnston@yahoo.com,39 Lafayette Dr. ,Spring Valley,NY,10977
,Nettie,Mcdaniel,,nettie.mcdaniel@hotmail.com,7004 E. Wakehurst St. ,South Ozone Park,NY,11420
,Karla,Kirk,,karla.kirk@yahoo.com,9718 Harvard Rd. ,Palos Verdes Peninsula,CA,90274
,Regine,Gonzales,(805) 763-4045,regine.gonzales@gmail.com,798 Court Drive ,Oxnard,CA,93035
,Miriam,Baker,,miriam.baker@hotmail.com,90 Studebaker St. ,Uniondale,NY,11553
,Jeanie,Kirkland,,jeanie.kirkland@aol.com,7643 Old Theatre St. ,Santa Clara,CA,95050
,Marquerite,Dawson,,marquerite.dawson@gmail.com,37 Hamilton Court ,Garland,TX,75043
,Babara,Ochoa,,babara.ochoa@aol.com,872 Smith Store St. ,Scarsdale,NY,10583
,Nova,Hess,,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,91010
,Carley,Reynolds,,carley.reynolds@gmail.com,2 Snake Hill Drive ,South El Monte,CA,91733
,Carissa,Foreman,,carissa.foreman@msn.com,69C N. Ridge Rd. ,Maspeth,NY,11378
,Genoveva,Tyler,(212) 152-6381,genoveva.tyler@gmail.com,8121 Windfall Ave. ,New York,NY,10002
,Deane,Sears,,deane.sears@hotmail.com,3 Bradford Court ,Pittsford,NY,14534
,Karey,Steele,,karey.steele@gmail.com,8879 Kent Lane ,Farmingdale,NY,11735
,Olevia,Pitts,,olevia.pitts@gmail.com,39 Fieldstone Drive ,Redondo Beach,CA,90278
,Jenniffer,Bullock,,jenniffer.bullock@msn.com,38 Oxford Avenue ,Bay Shore,NY,11706
,Jeniffer,Ratliff,,jeniffer.ratliff@gmail.com,510 Rocky River Court ,Floral Park,NY,11001
,Klara,Stanley,,klara.stanley@aol.com,603 Mechanic St. ,Webster,NY,14580
,Morton,Lee,,morton.lee@yahoo.com,313 Ridge St. ,San Angelo,TX,76901
,Ken,Charles,,ken.charles@msn.com,9124 W. Piper Lane ,Monsey,NY,10952
,Hedwig,Paul,,hedwig.paul@msn.com,422 Manor Ave. ,Apple Valley,CA,92307
,Sharla,Flynn,(805) 478-7724,sharla.flynn@hotmail.com,7 Brown Drive ,Oxnard,CA,93035
,Damian,Dawson,,damian.dawson@hotmail.com,528 St Margarets Street ,Liverpool,NY,13090
,Toya,Pratt,(562) 218-6405,toya.pratt@yahoo.com,485 San Pablo Drive ,Long Beach,NY,11561
,Graciela,Barber,(805) 656-6987,graciela.barber@hotmail.com,1 E. Young St. ,Oxnard,CA,93035
,Bong,Hebert,,bong.hebert@gmail.com,545 Brook St. ,Torrance,CA,90505
,Ayanna,Rhodes,,ayanna.rhodes@msn.com,7425 Pheasant St. ,Hicksville,NY,11801
,Dorine,Roberson,,dorine.roberson@msn.com,396 Meadowbrook Lane ,Santa Cruz,CA,95060
,Addie,Hahn,,addie.hahn@hotmail.com,8165 Baker Ave. ,Franklin Square,NY,11010
,Edythe,Valencia,,edythe.valencia@yahoo.com,9346 Wall St. ,North Tonawanda,NY,14120
,Andy,O'neill,,andy.o'neill@msn.com,9544 Mulberry Drive ,Rego Park,NY,11374
,Luis,Tyler,,luis.tyler@gmail.com,9568 Campfire Circle ,Amarillo,TX,79106
,Clelia,Workman,,clelia.workman@yahoo.com,620 North Somerset St. ,New Windsor,NY,12553
,Ashely,Holmes,,ashely.holmes@aol.com,45 High Ridge Ave. ,Farmingdale,NY,11735
,Candis,Harding,,candis.harding@gmail.com,33 NW. Cambridge Ave. ,Ballston Spa,NY,12020
,Marni,Bolton,(717) 670-6268,marni.bolton@msn.com,7469 Plymouth Ave. ,Lancaster,NY,14086
,Minerva,Decker,(281) 271-6390,minerva.decker@yahoo.com,794 Greenrose Street ,Houston,TX,77016
,Alpha,King,,alpha.king@hotmail.com,14 Henry Smith St. ,Rockville Centre,NY,11570
,Harris,Pittman,,harris.pittman@yahoo.com,404 Cherry Hill Road ,Jamaica,NY,11432
,Stephaine,Riddle,,stephaine.riddle@hotmail.com,199 Vermont Court ,Brooklyn,NY,11201
,Michel,Blankenship,,michel.blankenship@msn.com,382 West Hill Dr. ,Forney,TX,75126
,Denis,Logan,,denis.logan@msn.com,121 Rockcrest Street ,Ridgecrest,CA,93555
,Jutta,Everett,,jutta.everett@gmail.com,27 Taylor Ave. ,Selden,NY,11784
,Priscilla,Wilkins,(229) 322-2269,priscilla.wilkins@aol.com,653 Pawnee Rd. ,Albany,NY,12203
,Gilma,Dejesus,,gilma.dejesus@yahoo.com,777 Thompson Ave. ,Scarsdale,NY,10583
,Buford,Bridges,(248) 604-7346,buford.bridges@msn.com,239 Oak Valley Court ,Troy,NY,12180
,Elenore,Hensley,,elenore.hensley@hotmail.com,7037 Aspen St. ,Hamburg,NY,14075
,Ross,Pugh,,ross.pugh@msn.com,8598 Saxon St. ,North Tonawanda,NY,14120
,Judith,Finley,,judith.finley@hotmail.com,474 West Bank Road ,Whitestone,NY,11357
,Wai,Soto,,wai.soto@msn.com,30 Arch Drive ,Bethpage,NY,11714
,Carline,Collier,(559) 810-6070,carline.collier@msn.com,28 Trenton Lane ,Fresno,CA,93706
,Casey,Gill,,casey.gill@gmail.com,636 Prospect Avenue ,Port Washington,NY,11050
,Darcie,Morgan,(442) 618-7068,darcie.morgan@aol.com,476 East Adams Ave. ,Oceanside,NY,11572
,Lucio,Sherman,,lucio.sherman@gmail.com,842 Corona Ave. ,Smithtown,NY,11787
,Clementine,Mooney,,clementine.mooney@yahoo.com,678 Charles Court ,Mcallen,TX,78501
,Anya,Contreras,,anya.contreras@msn.com,38 Old Fairground St. ,East Northport,NY,11731
,Scarlet,Yates,,scarlet.yates@hotmail.com,687 Shirley St. ,Patchogue,NY,11772
,Moses,Pope,,moses.pope@yahoo.com,654 Theatre Street ,Lawndale,CA,90260
,Barbera,Riggs,,barbera.riggs@aol.com,12 Gartner Drive ,Plainview,NY,11803
,Kiana,Rivera,,kiana.rivera@gmail.com,9 Sheffield Dr. ,Richmond Hill,NY,11418
,Danielle,Bond,,danielle.bond@msn.com,8589 Shub Farm Street ,Patchogue,NY,11772
,Whitney,Estes,(631) 315-4020,whitney.estes@gmail.com,454 Bear Hill Street ,Brentwood,NY,11717
,Molly,Langley,,molly.langley@aol.com,63 Bridgeton Street ,Holbrook,NY,11741
,Chelsey,Hardin,,chelsey.hardin@hotmail.com,13 Brickyard Street ,Deer Park,NY,11729
,Jenee,Rasmussen,(916) 219-1774,jenee.rasmussen@hotmail.com,19 George Lane ,Sacramento,CA,95820
,Freddie,Mathis,,freddie.mathis@hotmail.com,31 Shady St. ,Euless,TX,76039
,Mariana,Strong,,mariana.strong@msn.com,972 Dunbar Dr. ,Santa Clara,CA,95050
,Winfred,Harris,,winfred.harris@msn.com,734 Glen Eagles St. ,East Meadow,NY,11554
,Jeromy,Elliott,,jeromy.elliott@gmail.com,7112 Laurel Street ,Bay Shore,NY,11706
,Verona,O'neill,,verona.o'neill@hotmail.com,8279 W. Sussex St. ,Selden,NY,11784
,Elvera,Peck,,elvera.peck@yahoo.com,759 Lakewood Street ,Banning,CA,92220
,Cindi,Larson,,cindi.larson@msn.com,896 Golden Star Rd. ,Howard Beach,NY,11414
,Felice,Guzman,,felice.guzman@hotmail.com,7 Creekside Lane ,Canyon Country,CA,91387
,Le,Deleon,,le.deleon@msn.com,58 Clark Court ,Banning,CA,92220
,Manie,Sanchez,,manie.sanchez@hotmail.com,471 Illinois Ave. ,Queensbury,NY,12804
,Rutha,Howell,,rutha.howell@gmail.com,9247 Jones Street ,Canyon Country,CA,91387
,Natosha,Rowland,,natosha.rowland@aol.com,51 Elmwood St. ,Ballston Spa,NY,12020
,Jessika,Bray,,jessika.bray@yahoo.com,37 East Greystone St. ,San Pablo,CA,94806
,Delila,Hamilton,,delila.hamilton@yahoo.com,7451 East James Ave. ,Palos Verdes Peninsula,CA,90274
,Dionne,Norris,,dionne.norris@yahoo.com,9993 Greenview Circle ,Niagara Falls,NY,14304
,Muriel,Juarez,,muriel.juarez@gmail.com,8073 Cemetery Drive ,Palos Verdes Peninsula,CA,90274
,Cecelia,Gill,,cecelia.gill@aol.com,372 Silver Spear Dr. ,Mcallen,TX,78501
,Magda,Eaton,,magda.eaton@aol.com,860 Middle River Street ,Ossining,NY,10562
,Ivonne,Yang,(915) 181-1950,ivonne.yang@gmail.com,7359 North Lake View St. ,El Paso,TX,79930
,Kasie,Rodriquez,,kasie.rodriquez@aol.com,7 North Beech St. ,Ballston Spa,NY,12020
,Eleni,Gordon,,eleni.gordon@hotmail.com,583 W. San Carlos Street ,Richmond Hill,NY,11418
,Maurice,Norton,,maurice.norton@hotmail.com,32 Mayflower Dr. ,Atwater,CA,95301
,Cristobal,Hutchinson,,cristobal.hutchinson@gmail.com,58 Washington Avenue ,Lawndale,CA,90260
,Flossie,Holder,,flossie.holder@msn.com,8459 W. Newport Court ,Massapequa Park,NY,11762
,Erma,Salinas,,erma.salinas@gmail.com,347 Sheffield St. ,Merrick,NY,11566
,Earl,Stanley,,earl.stanley@gmail.com,569 Lake Lane ,Elmhurst,NY,11373
,Maribel,William,,maribel.william@aol.com,65 Magnolia Ave. ,Torrance,CA,90505
,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566
,Rodrick,Shelton,,rodrick.shelton@hotmail.com,7157 Addison Street ,Canyon Country,CA,91387
,Ferne,Kline,,ferne.kline@hotmail.com,303 Shady St. ,Fullerton,CA,92831
,Rubin,Decker,(716) 950-9835,rubin.decker@gmail.com,9875 Shady Ave. ,Buffalo,NY,14215
,Dortha,Jarvis,(442) 919-8256,dortha.jarvis@yahoo.com,76 Prince Drive ,Oceanside,NY,11572
,Mariela,Huffman,,mariela.huffman@gmail.com,531 Fieldstone Road ,Garden City,NY,11530
,Mellisa,Farley,,mellisa.farley@yahoo.com,21 West Princess St. ,Central Islip,NY,11722
,Myung,Hooper,,myung.hooper@gmail.com,951 Mill Road ,Elmont,NY,11003
,Angelina,Lloyd,,angelina.lloyd@yahoo.com,9593 North Sherman Dr. ,Apple Valley,CA,92307
,Trinity,Riddle,,trinity.riddle@aol.com,23 Oakland Lane ,Ballston Spa,NY,12020
,Barton,Crosby,,barton.crosby@msn.com,896 Edgewater St. ,Bellmore,NY,11710
,Claudio,Wise,,claudio.wise@hotmail.com,810 Oxford Ave. ,Kingston,NY,12401
,Katheleen,Marks,,katheleen.marks@yahoo.com,69 North Tower St. ,Longview,TX,75604
,Deja,Chaney,,deja.chaney@hotmail.com,52 Woodside Ave. ,Jamaica,NY,11432
,Queenie,Vance,,queenie.vance@gmail.com,172 Arcadia Ave. ,Ozone Park,NY,11417
,Josh,Shaw,,josh.shaw@gmail.com,212 North Leeton Ridge Street ,Hopewell Junction,NY,12533
,Pinkie,Kirkland,,pinkie.kirkland@yahoo.com,18 Myers St. ,San Angelo,TX,76901
,Lavette,Wright,,lavette.wright@msn.com,6 Windsor Street ,Ronkonkoma,NY,11779
,Mark,Garrett,,mark.garrett@msn.com,285 Rosewood Dr. ,Monroe,NY,10950
